Transaction ID,Customer ID,Transaction Date,Transaction Time,Transaction Amount,Transaction Type,Payment Method,Merchant Category,Sender Location,Receiver Location,Account Age (Days),Customer Age,Transactions in Last 24 Hours,Average Customer Transaction Amount,Failed Transaction Attempts,Device Type,Device ID,IP Address,Is New Device,Is Unusual Location,Is International,Transaction Status,Is Fraud
TXN200010,CUST10293,2024-04-18,00:27:53,2870.48,ATM withdrawal,Digital Wallet,Groceries,Hyderabad,Mumbai,914,55,5,4158.74,0,Mobile,DEV444519,69.193.202.42,0,0,0,Success,0
TXN200011,CUST10150,2024-01-16,10:44:44,2360.11,Bank transfer,UPI,Groceries,Mumbai,Pune,948,40,9,3425.65,0,Tablet,DEV890870,190.144.222.58,0,0,0,Success,0
TXN200012,CUST10399,2024-03-01,18:36:07,2437.84,Mobile-wallet payment,Card,Groceries,Bangalore,Kolkata,2692,63,4,2008.81,3,Tablet,DEV244283,81.248.142.14,0,0,0,Success,1
TXN200013,CUST10934,2024-06-11,23:34:46,872.53,Credit-card payment,UPI,Others,Chennai,Hyderabad,2644,52,3,4032.04,0,Mobile,DEV631958,76.115.46.252,0,0,0,Success,0
TXN200014,CUST10986,2024-02-14,18:42:30,1215.3,UPI transfer,ATM,Groceries,Ahmedabad,Jaipur,1669,43,3,4830.39,0,Mobile,DEV976303,150.217.66.2,0,0,0,Success,0
TXN200015,CUST10041,2024-02-09,11:44:47,2822.59,ATM withdrawal,Digital Wallet,Entertainment,Kolkata,Lucknow,2191,34,3,4425.95,0,Mobile,DEV322086,201.182.82.135,0,0,0,Success,0
TXN200016,CUST10534,2024-01-18,18:23:29,573.59,Bank transfer,ATM,Others,Kolkata,Delhi,821,66,10,1289.73,0,Mobile,DEV967161,170.85.85.93,0,0,0,Success,0
TXN200017,CUST10544,2024-05-01,20:26:15,4969.45,Mobile-wallet payment,Digital Wallet,Electronics,Lucknow,Pune,1893,27,6,3864.81,0,Tablet,DEV491774,158.236.160.63,0,0,0,Success,0
TXN200018,CUST10391,2024-01-30,14:02:57,2141.79,Credit-card payment,UPI,Entertainment,Jaipur,Singapore,596,56,6,4428.51,2,Tablet,DEV772324,206.131.115.125,0,1,0,Success,0
TXN200019,CUST10971,2024-01-25,06:05:40,905.32,Mobile-wallet payment,UPI,Others,Delhi,Hyderabad,459,75,9,2802.13,0,Mobile,DEV223453,222.176.109.214,0,1,0,Success,0
TXN200020,CUST10849,2024-06-28,15:50:47,6240.51,Online purchase,Digital Wallet,Fashion,London,Chennai,2497,29,4,1931.98,0,Mobile,DEV176806,46.204.65.143,1,1,1,Success,0
TXN200021,CUST10418,2024-04-09,16:25:29,923.93,Online purchase,ATM,Dining,Pune,Kolkata,3353,29,10,1106.84,0,Tablet,DEV138780,2.165.185.159,0,0,0,Success,0
TXN200022,CUST10047,2024-06-28,02:38:34,4610.84,Credit-card payment,UPI,Electronics,Delhi,New York,158,22,1,4368.36,0,Mobile,DEV639131,73.196.238.113,0,0,0,Success,0
TXN200023,CUST10486,2024-02-10,19:25:22,575.38,Bank transfer,Net Banking,Dining,Kolkata,Singapore,2296,41,6,1798.71,0,Tablet,DEV628750,37.77.174.228,0,0,0,Success,0
TXN200024,CUST10981,2024-01-03,20:09:11,1372.13,Mobile-wallet payment,UPI,Fashion,Chennai,Mumbai,1220,72,6,2120.97,0,Desktop,DEV546688,138.141.243.22,0,0,0,Success,0
TXN200025,CUST10217,2024-04-15,23:31:03,2093.06,Mobile-wallet payment,UPI,Fashion,Chennai,Hyderabad,390,47,1,1915.33,0,Desktop,DEV221552,50.30.47.172,0,0,0,Success,0
TXN200026,CUST10872,2024-05-20,16:47:38,406.08,Online purchase,UPI,Electronics,Kolkata,Delhi,3486,48,3,1019.79,0,Mobile,DEV593821,186.149.125.244,0,0,0,Success,0
TXN200027,CUST10688,2024-06-16,08:32:20,3458.07,UPI transfer,Card,Electronics,Bangalore,Chennai,3493,40,10,2560.37,0,Desktop,DEV953266,158.169.79.178,0,0,0,Success,0
TXN200028,CUST10581,2024-04-03,11:31:02,820.99,Debit-card payment,Net Banking,Groceries,Jaipur,Dubai,1571,37,6,1327.46,0,Tablet,DEV596520,165.112.71.216,0,0,0,Success,0
TXN200029,CUST10899,2024-05-02,16:51:06,3224.06,Debit-card payment,Card,Entertainment,Ahmedabad,Delhi,3378,39,9,4071.43,0,Tablet,DEV393964,21.216.72.220,0,0,0,Success,0
TXN200030,CUST10202,2024-03-08,22:48:52,934.1,UPI transfer,Digital Wallet,Groceries,Bangalore,New York,2260,25,9,1511.64,0,Tablet,DEV710156,104.197.152.55,1,0,0,Success,0
TXN200031,CUST10267,2024-05-19,19:38:56,13678.54,Debit-card payment,Net Banking,Health,Bangalore,Dubai,166,46,6,3108.08,0,Desktop,DEV194511,35.119.129.131,0,0,0,Success,0
TXN200032,CUST10515,2024-01-03,08:41:50,4747.37,Mobile-wallet payment,UPI,Fashion,Delhi,Bangalore,1208,20,3,4798.91,0,Mobile,DEV463188,145.243.145.169,0,0,0,Success,0
TXN200033,CUST10754,2024-05-03,13:03:48,2119.95,UPI transfer,Net Banking,Services,Chennai,Ahmedabad,79,51,7,4940.97,0,Mobile,DEV238394,172.53.133.233,0,0,0,Success,0
TXN200034,CUST10481,2024-04-26,01:41:26,1404.67,UPI transfer,Card,Electronics,Pune,Jaipur,229,40,3,727.43,0,Desktop,DEV726543,214.190.68.149,0,0,0,Success,0
TXN200035,CUST10386,2024-06-16,13:46:53,1463.23,Credit-card payment,UPI,Electronics,Pune,Kolkata,1197,57,8,3885.76,0,Mobile,DEV345369,133.104.91.210,0,0,0,Success,0
TXN200036,CUST10812,2024-05-03,21:59:55,5470.16,UPI transfer,UPI,Fashion,Delhi,Hyderabad,1090,55,10,4628.43,0,Tablet,DEV122859,72.55.39.48,0,0,0,Success,0
TXN200037,CUST10122,2024-06-18,08:23:11,464.56,Debit-card payment,Card,Electronics,Kolkata,Pune,2882,63,3,2227.9,1,Tablet,DEV355836,42.166.214.106,0,0,0,Success,0
TXN200038,CUST10165,2024-02-04,22:55:15,1377.42,ATM withdrawal,Digital Wallet,Fashion,Ahmedabad,Bangalore,2234,69,2,3985.89,3,Desktop,DEV556732,154.249.145.164,0,1,0,Success,1
TXN200039,CUST10225,2024-04-15,21:52:33,5812.05,Bank transfer,UPI,Fashion,Delhi,Jaipur,950,23,2,4965.16,0,Tablet,DEV583863,176.88.237.117,0,0,0,Success,0
TXN200040,CUST10236,2024-04-06,14:02:03,5548.11,Bank transfer,Digital Wallet,Groceries,Hyderabad,Singapore,1008,62,8,3073.09,0,Tablet,DEV997594,108.212.39.156,0,0,0,Success,0
TXN200041,CUST10924,2024-06-06,21:50:18,3213.5,UPI transfer,UPI,Others,Chennai,Delhi,60,24,9,2801.81,4,Mobile,DEV688730,231.155.139.212,0,0,0,Success,1
TXN200042,CUST10961,2024-05-03,13:52:49,3438.91,Credit-card payment,UPI,Electronics,Bangalore,Ahmedabad,948,32,9,3772.26,0,Mobile,DEV321449,233.220.22.73,0,0,0,Success,0
TXN200043,CUST10419,2024-03-06,06:52:55,547.9,UPI transfer,Digital Wallet,Others,Hyderabad,Mumbai,855,36,3,697.13,0,Mobile,DEV143941,177.206.81.105,0,0,0,Success,0
TXN200044,CUST10437,2024-06-15,21:18:45,666.16,Credit-card payment,Card,Others,Delhi,Chennai,1549,46,9,2174.06,0,Tablet,DEV701800,102.194.53.106,0,0,0,Success,0
TXN200045,CUST10495,2024-02-15,13:28:44,2376.64,ATM withdrawal,UPI,Services,Jaipur,Ahmedabad,2107,39,2,4227.3,0,Tablet,DEV613641,102.189.36.219,0,0,0,Success,0
TXN200046,CUST10766,2024-02-28,16:15:36,517.18,Mobile-wallet payment,Net Banking,Electronics,Bangalore,Kolkata,2523,57,7,747.63,0,Tablet,DEV225245,158.179.176.181,0,0,0,Success,0
TXN200047,CUST10988,2024-06-11,00:11:33,2913.18,Mobile-wallet payment,Digital Wallet,Fashion,Bangalore,Lucknow,3294,74,7,1250.5,0,Mobile,DEV829987,68.57.95.21,0,0,0,Success,0
TXN200048,CUST10954,2024-04-12,22:21:13,682.62,Online purchase,UPI,Entertainment,Hyderabad,Lucknow,2801,19,9,518.56,0,Mobile,DEV337256,164.127.113.3,0,0,0,Success,0
TXN200049,CUST10293,2024-02-19,01:13:25,1014.89,Mobile-wallet payment,UPI,Others,Hyderabad,Hyderabad,914,55,2,4158.74,2,Tablet,DEV444519,10.93.62.168,0,0,0,Success,0
TXN200050,CUST10799,2024-04-12,12:51:25,6150.72,Online purchase,ATM,Dining,Bangalore,Jaipur,335,32,9,4746.0,0,Mobile,DEV837801,236.24.141.73,1,0,0,Success,0
TXN200051,CUST10357,2024-03-29,10:04:02,1918.11,Bank transfer,UPI,Travel,Ahmedabad,Kolkata,309,46,9,2610.14,0,Desktop,DEV935012,45.105.130.28,0,0,0,Success,0
TXN200052,CUST10302,2024-03-28,04:15:36,2670.35,Mobile-wallet payment,UPI,Entertainment,Jaipur,Singapore,3238,64,4,4589.38,0,Desktop,DEV416282,178.114.248.97,0,0,0,Success,0
TXN200053,CUST10776,2024-03-27,16:42:22,7150.02,Online purchase,ATM,Groceries,Hyderabad,Ahmedabad,3547,20,6,4383.18,0,Tablet,DEV148215,202.255.57.174,0,0,0,Success,0
TXN200054,CUST10423,2024-03-31,18:48:19,4918.95,ATM withdrawal,Digital Wallet,Entertainment,Kolkata,Delhi,3304,25,8,2156.09,0,Tablet,DEV879414,211.88.20.142,0,0,0,Success,0
TXN200055,CUST10322,2024-03-31,07:57:27,3693.85,ATM withdrawal,Card,Fashion,Hyderabad,New York,3153,25,5,1753.56,0,Mobile,DEV946432,128.189.52.61,0,0,0,Success,0
TXN200056,CUST10212,2024-02-28,07:22:57,672.84,Mobile-wallet payment,Net Banking,Health,Lucknow,Delhi,1169,46,9,1316.7,0,Mobile,DEV557058,174.245.170.127,0,0,0,Success,0
TXN200057,CUST10981,2024-01-11,17:33:34,1656.16,Credit-card payment,UPI,Health,Chennai,Lucknow,1220,72,7,2120.97,0,Desktop,DEV546688,47.253.196.235,0,0,0,Success,0
TXN200058,CUST10228,2024-05-27,04:40:09,2081.33,UPI transfer,UPI,Dining,Jaipur,Jaipur,1964,48,2,1596.79,0,Desktop,DEV464158,221.176.199.45,1,0,0,Success,0
TXN200059,CUST10716,2024-05-12,16:45:02,7532.71,Credit-card payment,Digital Wallet,Groceries,Bangalore,Kolkata,3581,35,5,3451.53,0,Desktop,DEV361805,93.157.221.67,0,0,0,Success,0
TXN200060,CUST10243,2024-03-09,17:09:40,1379.2,ATM withdrawal,Card,Health,Kolkata,Kolkata,1115,68,8,2023.53,0,Tablet,DEV781403,193.96.94.219,0,0,0,Success,0
TXN200061,CUST10185,2024-05-26,04:46:28,1564.16,ATM withdrawal,Net Banking,Electronics,Bangalore,Dubai,2296,21,3,1814.61,0,Desktop,DEV768854,220.98.51.38,0,0,0,Success,0
TXN200062,CUST10485,2024-01-03,06:25:48,301.35,Debit-card payment,ATM,Fashion,Jaipur,Singapore,1670,20,9,730.21,0,Tablet,DEV304110,185.81.202.125,0,0,0,Success,0
TXN200063,CUST10880,2024-05-25,01:44:13,1690.24,Debit-card payment,Digital Wallet,Fashion,Singapore,Ahmedabad,2844,52,6,4401.02,0,Tablet,DEV700534,25.116.191.86,0,1,1,Success,0
TXN200064,CUST10574,2024-05-22,09:22:59,2976.29,Credit-card payment,Digital Wallet,Dining,Lucknow,Singapore,1214,50,3,1553.73,0,Tablet,DEV434394,51.148.148.167,0,0,0,Success,0
TXN200065,CUST10800,2024-03-13,12:55:44,2930.94,Credit-card payment,UPI,Services,Delhi,Pune,2424,67,3,990.38,0,Desktop,DEV272359,158.74.119.162,0,0,0,Success,0
TXN200066,CUST10656,2024-03-27,15:21:28,1320.78,Online purchase,UPI,Dining,Jaipur,Delhi,2339,25,5,1399.1,0,Desktop,DEV288667,59.81.82.168,0,0,0,Success,0
TXN200067,CUST10620,2024-06-14,14:23:53,7592.9,Credit-card payment,ATM,Health,Chennai,Jaipur,1807,72,4,3402.08,0,Desktop,DEV693343,43.48.219.6,0,0,0,Success,0
TXN200068,CUST10678,2024-03-05,02:54:54,1716.18,Bank transfer,Net Banking,Dining,Bangalore,Delhi,2143,33,2,1285.04,0,Desktop,DEV447067,141.14.7.198,0,0,0,Success,0
TXN200069,CUST10107,2024-03-08,22:30:15,2143.19,Bank transfer,Digital Wallet,Dining,Hyderabad,Hyderabad,2235,69,1,3590.86,0,Desktop,DEV481913,161.33.34.135,0,0,0,Success,0
TXN200070,CUST10036,2024-06-18,12:59:31,4266.45,Mobile-wallet payment,Card,Services,Pune,Singapore,32,51,9,3195.25,0,Desktop,DEV120422,141.114.35.249,0,0,0,Success,0
TXN200071,CUST10182,2024-05-31,21:45:26,6070.14,Debit-card payment,UPI,Dining,Delhi,New York,2474,51,5,1773.49,0,Desktop,DEV973074,124.139.59.207,0,0,0,Success,0
TXN200072,CUST10375,2024-04-15,09:27:33,3947.7,Bank transfer,Card,Groceries,Singapore,Dubai,2665,42,8,4062.48,0,Desktop,DEV802667,74.121.137.3,0,1,1,Success,0
TXN200073,CUST10970,2024-05-02,10:54:30,12773.05,UPI transfer,ATM,Entertainment,Kolkata,Dubai,2510,57,3,3653.27,0,Mobile,DEV491794,106.226.144.112,1,0,0,Success,0
TXN200074,CUST10733,2024-06-14,14:11:21,153.08,Mobile-wallet payment,ATM,Travel,Kolkata,Kolkata,2687,75,5,1244.86,0,Tablet,DEV755993,196.205.233.157,0,0,0,Success,0
TXN200075,CUST10292,2024-06-15,19:22:02,1560.88,Mobile-wallet payment,Card,Dining,Jaipur,Delhi,870,54,10,808.75,0,Desktop,DEV317220,29.164.117.159,0,0,0,Success,0
TXN200076,CUST10504,2024-02-18,11:40:27,3867.4,UPI transfer,Net Banking,Groceries,Kolkata,Mumbai,1721,27,1,3607.25,0,Mobile,DEV626195,73.69.33.184,0,0,0,Success,0
TXN200077,CUST10239,2024-01-24,05:29:10,2173.06,UPI transfer,ATM,Travel,Lucknow,Ahmedabad,547,20,3,2760.31,1,Desktop,DEV448121,96.119.179.203,0,0,0,Failed,0
TXN200078,CUST10795,2024-04-10,02:35:56,2447.84,ATM withdrawal,ATM,Fashion,Lucknow,Singapore,3388,58,4,2274.58,0,Desktop,DEV695403,213.4.32.250,0,0,0,Success,0
TXN200079,CUST10395,2024-04-23,08:59:56,186.11,Online purchase,Digital Wallet,Travel,Hyderabad,Dubai,1821,71,5,912.71,0,Tablet,DEV956375,252.54.122.100,0,0,0,Success,0
TXN200080,CUST10959,2024-03-23,05:46:29,4177.1,Online purchase,Digital Wallet,Others,Chennai,Ahmedabad,2843,74,4,4979.63,0,Desktop,DEV613989,51.93.228.14,0,0,0,Success,0
TXN200081,CUST10997,2024-01-29,08:35:28,109566.52,Online purchase,ATM,Health,Dubai,Ahmedabad,2849,51,10,3652.61,4,Desktop,DEV553873,203.63.3.249,0,1,1,Success,1
TXN200082,CUST10347,2024-06-09,02:11:11,3184.88,UPI transfer,Card,Fashion,Kolkata,Dubai,3489,45,6,976.38,0,Desktop,DEV717476,60.82.252.143,0,0,0,Success,0
TXN200083,CUST10825,2024-04-22,07:01:32,1134.21,UPI transfer,ATM,Health,Mumbai,Ahmedabad,1620,38,8,1716.96,0,Desktop,DEV434367,181.113.144.76,0,0,0,Success,0
TXN200084,CUST10195,2024-05-25,06:47:41,403.81,ATM withdrawal,Card,Health,Delhi,Ahmedabad,2573,54,3,771.04,0,Tablet,DEV899787,235.221.142.42,0,0,0,Success,0
TXN200085,CUST10461,2024-03-16,09:35:17,1246.86,ATM withdrawal,Card,Services,New York,Jaipur,2590,26,10,1862.71,0,Mobile,DEV197966,227.5.159.220,0,1,1,Success,0
TXN200086,CUST10245,2024-03-23,02:18:22,7766.84,Online purchase,UPI,Dining,Pune,New York,2597,38,6,3734.23,0,Tablet,DEV667296,40.157.73.83,0,0,0,Success,0
TXN200087,CUST10114,2024-01-25,19:02:56,3166.86,Online purchase,Digital Wallet,Groceries,Lucknow,Bangalore,890,36,10,2434.5,0,Mobile,DEV736130,52.28.125.50,0,0,0,Success,0
TXN200088,CUST10658,2024-04-09,23:57:15,2676.84,Debit-card payment,UPI,Entertainment,Hyderabad,Lucknow,1825,31,2,4089.58,0,Mobile,DEV958747,239.236.54.168,0,1,0,Success,0
TXN200089,CUST10480,2024-06-12,02:12:36,7312.69,Credit-card payment,UPI,Dining,Hyderabad,Dubai,1902,50,5,4850.09,0,Tablet,DEV711680,69.136.11.188,0,0,0,Success,0
TXN200090,CUST10080,2024-02-25,18:54:49,4151.05,UPI transfer,Digital Wallet,Travel,Bangalore,Hyderabad,468,25,9,3840.88,0,Tablet,DEV385577,64.146.161.243,0,0,0,Success,0
TXN200091,CUST10426,2024-01-28,23:15:05,8186.49,ATM withdrawal,Card,Services,Delhi,Kolkata,368,69,3,3771.87,0,Mobile,DEV551524,203.47.141.103,0,0,0,Success,0
TXN200092,CUST10547,2024-06-02,16:07:46,2221.97,Credit-card payment,Card,Others,Delhi,Chennai,2816,33,10,3896.33,0,Desktop,DEV651033,196.163.111.212,0,0,0,Success,0
TXN200093,CUST10247,2024-05-24,19:51:56,1887.27,Bank transfer,ATM,Others,Delhi,Ahmedabad,400,65,5,2452.87,0,Desktop,DEV897305,115.246.102.1,0,0,0,Success,0
TXN200094,CUST10611,2024-01-05,18:50:44,2106.29,Bank transfer,Card,Groceries,Ahmedabad,Hyderabad,98,18,5,2882.38,0,Desktop,DEV661762,6.198.211.242,0,0,0,Success,0
TXN200095,CUST10942,2024-05-21,18:36:53,1472.85,ATM withdrawal,UPI,Fashion,Pune,Chennai,2406,55,5,4749.35,0,Desktop,DEV595158,94.228.150.64,0,1,0,Success,0
TXN200096,CUST10095,2024-05-26,14:33:22,4825.61,ATM withdrawal,Net Banking,Electronics,Hyderabad,Dubai,3569,60,2,3807.76,0,Desktop,DEV379766,212.231.177.180,0,0,0,Success,0
TXN200097,CUST10610,2024-06-13,10:56:13,652.79,UPI transfer,UPI,Dining,Mumbai,Dubai,94,49,4,529.76,0,Desktop,DEV531319,107.239.223.31,0,1,0,Success,0
TXN200098,CUST10766,2024-06-16,21:55:44,750.69,UPI transfer,ATM,Groceries,Bangalore,Mumbai,2523,57,1,747.63,0,Tablet,DEV225245,39.84.129.179,0,0,0,Success,0
TXN200099,CUST10690,2024-04-10,16:13:27,914.07,Mobile-wallet payment,UPI,Others,Kolkata,Ahmedabad,2782,23,1,1102.76,0,Mobile,DEV350161,34.87.22.122,0,1,0,Success,0
TXN200100,CUST10562,2024-04-12,09:33:33,1559.46,UPI transfer,ATM,Others,Jaipur,London,2826,23,10,4838.65,0,Mobile,DEV239449,124.144.51.125,0,0,0,Success,0
TXN200101,CUST10201,2024-05-23,22:25:39,2366.15,Online purchase,UPI,Travel,Hyderabad,Ahmedabad,3270,68,7,3312.76,0,Desktop,DEV545790,176.237.148.23,0,0,0,Success,0
TXN200102,CUST10434,2024-04-03,12:40:53,2699.78,Bank transfer,Card,Health,Pune,Mumbai,2518,72,8,3551.4,0,Mobile,DEV136489,253.90.158.211,0,0,0,Success,0
TXN200103,CUST10639,2024-02-07,16:02:12,1326.25,UPI transfer,Net Banking,Travel,Jaipur,Bangalore,1795,29,3,2519.8,0,Mobile,DEV637333,29.190.14.63,0,0,0,Success,0
TXN200104,CUST10890,2024-03-14,00:30:00,2763.5,Credit-card payment,Digital Wallet,Entertainment,Kolkata,Mumbai,2582,62,5,3144.09,0,Tablet,DEV217984,138.55.53.140,0,0,0,Success,0
TXN200105,CUST10562,2024-05-03,22:41:03,6685.07,Online purchase,Net Banking,Groceries,Jaipur,New York,2826,23,10,4838.65,0,Desktop,DEV239449,44.16.73.52,0,0,0,Success,1
TXN200106,CUST10069,2024-04-09,09:52:41,3069.69,Online purchase,Card,Electronics,Singapore,New York,2465,55,8,678.84,0,Desktop,DEV539589,131.251.182.26,0,1,1,Success,0
TXN200107,CUST10888,2024-06-01,19:21:12,2631.05,UPI transfer,Net Banking,Travel,Chennai,Pune,2308,42,6,2288.1,0,Tablet,DEV998235,6.11.64.237,0,0,0,Success,0
TXN200108,CUST10502,2024-04-10,05:42:58,1953.65,UPI transfer,Card,Health,Lucknow,Ahmedabad,2818,70,7,1589.88,0,Tablet,DEV834549,71.208.16.161,0,0,0,Success,0
TXN200109,CUST10912,2024-01-08,20:12:17,2989.73,Credit-card payment,Net Banking,Fashion,Bangalore,Kolkata,2032,41,4,3173.2,0,Mobile,DEV597635,187.98.134.246,0,0,0,Success,0
TXN200110,CUST10428,2024-03-02,20:51:30,425.66,Bank transfer,ATM,Entertainment,Ahmedabad,Chennai,357,24,4,1975.64,0,Mobile,DEV421384,53.168.36.149,0,0,0,Success,0
TXN200111,CUST10884,2024-02-05,11:15:01,2467.78,Online purchase,UPI,Fashion,Bangalore,Dubai,3131,25,2,2520.68,0,Tablet,DEV322182,235.41.82.18,0,0,0,Success,0
TXN200112,CUST10189,2024-03-22,05:17:53,2416.88,Online purchase,Digital Wallet,Health,Delhi,Kolkata,297,70,5,2303.18,0,Desktop,DEV705050,114.191.240.211,0,0,0,Success,0
TXN200113,CUST10156,2024-02-18,03:53:14,22178.34,Bank transfer,Net Banking,Groceries,Kolkata,Lucknow,1307,19,1,3091.09,0,Tablet,DEV515922,146.157.60.153,0,0,0,Success,1
TXN200114,CUST10620,2024-04-30,23:39:00,61858.31,Credit-card payment,Net Banking,Dining,Chennai,Bangalore,1807,72,7,3402.08,5,Mobile,DEV693343,9.105.196.249,0,0,0,Success,1
TXN200115,CUST10888,2024-06-06,17:50:17,2912.34,Online purchase,Card,Services,Chennai,Kolkata,2308,42,7,2288.1,0,Mobile,DEV998235,156.189.212.98,0,0,0,Success,0
TXN200116,CUST10627,2024-05-26,21:37:11,3449.52,ATM withdrawal,UPI,Groceries,Jaipur,Pune,1623,72,1,3546.66,0,Mobile,DEV447843,225.255.63.133,0,0,0,Success,0
TXN200117,CUST10572,2024-04-09,18:47:29,907.0,Mobile-wallet payment,Digital Wallet,Travel,Hyderabad,Kolkata,211,65,1,2310.19,0,Desktop,DEV665979,119.43.109.76,0,0,0,Success,0
TXN200118,CUST10707,2024-05-12,05:10:43,6296.68,Debit-card payment,ATM,Electronics,Chennai,Delhi,162,73,7,2523.8,0,Tablet,DEV956401,241.229.179.140,0,0,0,Success,0
TXN200119,CUST10332,2024-04-25,00:54:25,5986.3,Bank transfer,ATM,Travel,Delhi,Delhi,3120,28,2,3280.27,0,Tablet,DEV385320,167.233.183.204,0,0,0,Success,0
TXN200120,CUST10094,2024-01-30,16:21:43,8774.79,Online purchase,Card,Electronics,Kolkata,Kolkata,3046,29,1,4660.19,0,Tablet,DEV941204,157.244.41.97,0,0,0,Success,0
TXN200121,CUST10787,2024-02-13,12:12:14,1894.84,ATM withdrawal,Net Banking,Fashion,Hyderabad,Bangalore,2268,75,8,3922.17,0,Mobile,DEV257880,108.79.80.187,0,0,0,Success,0
TXN200122,CUST10296,2024-06-09,06:34:44,3947.88,UPI transfer,Net Banking,Travel,Dubai,Ahmedabad,3300,34,4,1285.24,0,Desktop,DEV621800,140.207.2.156,1,1,1,Success,1
TXN200123,CUST10453,2024-01-21,21:53:22,346.64,ATM withdrawal,Digital Wallet,Travel,Chennai,Ahmedabad,332,54,1,1063.97,0,Tablet,DEV773540,210.212.54.13,0,0,0,Success,0
TXN200124,CUST10669,2024-03-30,01:20:13,4939.14,Bank transfer,Digital Wallet,Entertainment,Pune,Delhi,2846,55,10,3088.56,0,Mobile,DEV537211,42.173.73.157,1,0,0,Success,0
TXN200125,CUST10587,2024-05-23,06:27:34,20370.62,Debit-card payment,UPI,Health,Lucknow,Delhi,1574,35,7,3531.52,0,Desktop,DEV141468,95.230.98.210,0,0,0,Success,0
TXN200126,CUST10067,2024-03-15,17:08:30,365.97,Bank transfer,Digital Wallet,Entertainment,Delhi,Kolkata,791,72,9,808.35,0,Tablet,DEV808011,54.157.15.28,0,0,0,Success,0
TXN200127,CUST10090,2024-05-03,22:01:09,1031.66,Mobile-wallet payment,Card,Dining,Delhi,Chennai,2823,31,10,1622.88,0,Tablet,DEV470858,255.160.91.238,0,0,0,Success,0
TXN200128,CUST10509,2024-05-13,23:00:18,5207.01,Debit-card payment,ATM,Fashion,Ahmedabad,Hyderabad,817,48,2,4808.02,0,Mobile,DEV685196,1.31.7.120,0,0,0,Success,0
TXN200129,CUST10756,2024-02-23,22:24:09,853.93,Debit-card payment,ATM,Groceries,Pune,Jaipur,2827,52,2,1277.47,0,Mobile,DEV907788,3.164.52.177,0,0,0,Success,0
TXN200130,CUST10316,2024-03-17,18:26:52,1201.16,ATM withdrawal,Card,Groceries,Jaipur,Chennai,1556,65,4,4152.96,0,Tablet,DEV162894,146.158.246.8,0,0,0,Success,0
TXN200131,CUST10339,2024-03-27,17:26:37,2892.62,Debit-card payment,Digital Wallet,Fashion,Kolkata,New York,61,25,1,2738.23,0,Tablet,DEV284229,230.86.119.201,0,0,0,Success,0
TXN200132,CUST10856,2024-05-13,10:53:55,1622.99,ATM withdrawal,Card,Others,Bangalore,Hyderabad,1824,42,3,3796.63,0,Desktop,DEV534130,205.235.228.204,0,0,0,Success,0
